HGNC Symbol,Brodmann (1909) area 24,Brodmann (1909) area 9,C1 segment of cervical spinal cord,EBV-transformed lymphocyte,adrenal gland,amygdala,aorta,atrium auricular region,blood,breast,caudate nucleus,cerebellar hemisphere,cerebellum,cerebral cortex,coronary artery,cortex of kidney,ectocervix,endocervix,esophagogastric junction,esophagus mucosa,esophagus muscularis mucosa,fallopian tube,greater omentum,heart left ventricle,hippocampus proper,hypothalamus,liver,lower leg skin,lung,minor salivary gland,nucleus accumbens,ovary,pancreas,pituitary gland,prostate gland,putamen,sigmoid colon,skeletal muscle tissue,small intestine Peyer's patch,spleen,stomach,subcutaneous adipose tissue,substantia nigra,suprapubic skin,testis,thyroid gland,tibial artery,tibial nerve,transformed skin fibroblast,transverse colon,urinary bladder,uterus,vagina
&Delta;9-tetrahydrocannabinol,115.0,95.0,10.0,30.0,35.0,45.0,25.0,3.5,0.0,100.0,70.0,190.0,170.0,80.0,35.0,0.0,60.0,40.0,50.0,15.0,40.0,145.0,140.0,0.0,70.0,55.0,0.0,20.0,35.0,15.0,45.0,15.0,5.0,185.0,15.0,80.0,100.0,10.0,60.0,15.0,15.0,150.0,10.0,15.0,10.0,40.0,130.0,55.0,125.0,35.0,25.0,35.0,25.0
(-)-adrenaline,36.0,49.0,5.0,0.0,14.0,11.4,113.0,10.0,0.0,321.0,11.0,55.0,60.0,54.0,53.0,15.0,801.0,650.0,41.0,20.0,27.2,105.0,236.0,3.5,34.0,43.0,3.5,111.4,75.0,59.0,8.6,222.2,130.0,15.0,105.0,7.2,64.0,4.0,40.0,99.0,14.8,526.0,10.0,69.8,81.0,111.0,86.0,207.0,0.0,68.0,107.0,115.0,265.0
(-)-noradrenaline,35.0,32.5,20.0,0.0,35.0,29.5,1040.0,25.0,0.0,95.0,140.0,20.0,17.5,38.0,325.0,120.0,500.0,1590.0,60.0,20.0,65.0,275.0,115.0,40.0,24.5,22.5,25.0,70.0,40.0,25.0,95.0,40.0,19.0,44.5,175.0,130.0,45.0,45.0,35.0,275.0,25.0,175.0,13.5,45.0,60.0,25.0,675.0,110.0,4.5,30.0,55.0,375.0,125.0
(-)-sulpiride,4.0,4.5,3.5,0.0,0.0,5.0,3.5,0.0,0.0,3.5,167.5,4.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.5,0.0,0.0,4.5,35.0,0.0,4.0,0.0,40.0,225.0,0.0,0.0,415.0,4.0,202.5,2.5,0.0,0.0,0.0,0.0,0.0,40.0,3.5,10.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,3.0
(R)-cetirizine,48.0,48.0,8.0,0.0,5.6,16.0,176.0,5.6,0.0,48.0,8.0,0.0,0.0,40.0,72.0,8.0,56.0,88.0,32.0,32.0,32.0,64.0,48.0,4.0,16.0,16.0,0.0,56.0,48.0,24.0,16.0,48.0,0.0,4.8,24.0,6.4,56.0,4.8,32.0,8.0,8.0,64.0,5.6,48.0,8.0,24.0,104.0,128.0,128.0,40.0,40.0,40.0,72.0
FSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6830.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-methyl scopolamine,288.0,464.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,8.0,199.2,0.0,0.0,512.0,8.0,4.8,0.0,0.0,96.0,8.0,96.0,5.6,0.0,0.0,176.0,24.0,0.0,40.0,23.2,120.0,284.8,24.0,40.0,4.8,190.4,192.0,77.6,0.0,12.0,4.0,52.8,0.0,4.0,31.2,7.2,16.0,4.0,0.0,0.0,28.8,16.0,8.0,0.0
PGE1,0.0,4.0,4.8,0.0,16.0,0.0,5.6,0.0,0.0,6.4,7.2,0.0,0.0,4.8,8.0,96.0,6.4,8.0,16.0,8.0,8.0,16.0,8.0,0.0,0.0,5.6,0.0,0.0,24.0,4.8,8.0,0.0,0.0,24.0,8.0,6.4,5.6,0.0,16.0,96.0,24.0,4.8,0.0,0.0,5.6,6.4,0.0,8.0,6.4,4.8,7.2,6.4,8.0
PGE2,0.0,0.0,1.6,1.6,2.0,0.0,4.0,1.8,56.0,12.0,0.0,0.0,0.0,0.0,8.0,8.0,40.0,96.0,10.0,4.0,8.0,20.0,24.0,0.0,0.0,0.0,2.0,4.0,24.0,8.0,0.0,26.0,1.2,2.0,30.0,0.0,4.0,0.0,26.0,52.0,24.0,16.0,0.0,4.0,8.0,8.0,2.0,12.0,112.0,16.0,8.0,34.0,8.0
PGI2,0.0,4.0,4.8,0.0,16.0,0.0,5.6,0.0,0.0,6.4,7.2,0.0,0.0,4.8,8.0,96.0,6.4,8.0,16.0,8.0,8.0,16.0,8.0,0.0,0.0,5.6,0.0,0.0,24.0,4.8,8.0,0.0,0.0,24.0,8.0,6.4,5.6,0.0,16.0,96.0,24.0,4.8,0.0,0.0,5.6,6.4,0.0,8.0,6.4,4.8,7.2,6.4,8.0
