Drug,Target (HGNC Symbol)
&alpha;-methylnoradrenaline,ADRA1D
&Delta;9-tetrahydrocannabinol,CNR1
&Delta;9-tetrahydrocannabinol,CNR2
&Delta;9-tetrahydrocannabinol,GPR18
&Delta;9-tetrahydrocannabinol,GPR55
&gamma;-hydroxybutyric acid,HCAR1
(-)-adrenaline,ADRA1A
(-)-adrenaline,ADRA1B
(-)-adrenaline,ADRA1D
(-)-adrenaline,ADRA2A
(-)-adrenaline,ADRB2
(-)-noradrenaline,ADRA1A
(-)-noradrenaline,ADRA1B
(-)-noradrenaline,ADRA1D
(-)-noradrenaline,ADRA2A
(-)-noradrenaline,ADRA2B
(-)-noradrenaline,ADRA2C
(-)-noradrenaline,ADRB3
(-)-pentazocine,OPRD1
(-)-pentazocine,OPRK1
(-)-pentazocine,OPRM1
(-)-sulpiride,DRD2
(-)-sulpiride,DRD3
(-)-sulpiride,DRD4
(R)-cetirizine,HRH1
17&beta;-estradiol,GPER1
abaloparatide,PTH1R
abarelix,GNRH1
acebutolol,ADRB1
acipimox,HCAR2
aclidinium,CHRM1
aclidinium,CHRM2
aclidinium,CHRM3
ACTH,MC1R
ACTH,MC3R
ACTH,MC4R
ACTH,MC5R
adenosine,TBXA1R
adenosine,ADORA2A
adenosine,ADORA2B
adenosine,ADORA3
adomeglivant,GCGR
agomelatine,HTR2A
agomelatine,HTR2B
agomelatine,HTR2C
agomelatine,MTNR1A
agomelatine,MTNR1B
alfuzosin,ADRA1A
alfuzosin,ADRA1B
alfuzosin,ADRA1D
alprenolol,ADRB2
alvimopan,OPRD1
alvimopan,OPRK1
alvimopan,OPRM1
ambrisentan,EDNRA
ambrisentan,EDNRB
amisulpride,DRD2
amitriptyline,HTR6
amitriptyline,HRH1
amitriptyline,CHRM1
amitriptyline,CHRM2
amitriptyline,CHRM3
amitriptyline,CHRM4
amitriptyline,CHRM5
amoxapine,HTR6
apomorphine,HTR1A
apomorphine,HTR2A
apomorphine,HTR2B
apomorphine,HTR2C
apomorphine,ADRA2A
apomorphine,ADRA2B
apomorphine,ADRA2C
apomorphine,DRD1
apomorphine,DRD2
apomorphine,DRD3
apomorphine,DRD4
apomorphine,DRD5
apraclonidine,ADRA2A
apraclonidine,ADRA2C
aprepitant,TACR1
arformoterol,ADRB1
arformoterol,ADRB2
aripiprazole,HTR1A
aripiprazole,HTR1B
aripiprazole,HTR1D
aripiprazole,HTR2A
aripiprazole,HTR2C
aripiprazole,DRD2
aripiprazole,HRH1
asenapine,HTR1A
asenapine,HTR1B
asenapine,HTR1D
asenapine,HTR1E
asenapine,HTR2A
asenapine,DRD2
asenapine,HRH1
atenolol,ADRB1
atenolol,ADRB2
atosiban,OXTR
atosiban,AVPR1A
atosiban,AVPR1B
atosiban,AVPR2
atropine,CHRM1
atropine,CHRM2
atropine,CHRM3
atropine,CHRM4
atropine,CHRM5
azelastine,HRH1
baclofen,GABBR
beclometasone dipropionate,ADGRG3
benperidol,DRD2
benperidol,DRD4
benzquinamide,DRD2
betaxolol,ADRB1
betaxolol,ADRB2
bethanechol,CHRM1
bethanechol,CHRM2
bethanechol,CHRM3
bethanechol,CHRM4
bimatoprost,PTGFR
biperiden,CHRM1
biperiden,CHRM2
biperiden,CHRM3
biperiden,CHRM4
biperiden,CHRM5
blonanserin,HTR2A
blonanserin,DRD2
bosentan,EDNRB
brexpiprazole,DRD2
brimonidine,ADRA2A
brimonidine,ADRA2B
brimonidine,ADRA2C
bromocriptine,HTR1A
bromocriptine,HTR1B
bromocriptine,HTR1D
bromocriptine,HTR2A
bromocriptine,HTR2B
bromocriptine,HTR2C
bromocriptine,HTR6
bromocriptine,ADRA2A
bromocriptine,ADRA2B
bromocriptine,ADRA2C
bromocriptine,DRD1
bromocriptine,DRD2
bromocriptine,DRD3
bromocriptine,DRD4
bromocriptine,DRD5
bumetanide,GPR35
bupranolol,ADRB1
bupranolol,ADRB2
bupranolol,ADRB3
buprenorphine,OPRK1
buprenorphine,OPRM1
buserelin,GNRH1
buspirone,HTR1A
butorphanol,OPRK1
butorphanol,OPRM1
cabergoline,HTR1A
cabergoline,HTR1B
cabergoline,HTR1D
cabergoline,HTR2A
cabergoline,HTR2B
cabergoline,HTR2C
cabergoline,ADRA1A
cabergoline,ADRA2A
cabergoline,ADRA2B
cabergoline,ADRA2C
cabergoline,DRD1
cabergoline,DRD2
cabergoline,DRD3
cabergoline,DRD4
cabergoline,DRD5
caffeine,TBXA1R
caffeine,ADORA2A
caffeine,ADORA2B
caffeine,ADORA3
calcitonin,AMY1
calcitonin,AMY2
calcitonin,AMY3
calcitonin,CALCR
calcitonin (salmon),CALCR
candesartan,AGTR1
cangrelor,P2RY12
cangrelor,P2RY13
carazolol,ADRB2
carazolol,ADRB3
carbachol,CHRM1
carbachol,CHRM2
carbachol,CHRM3
carbachol,CHRM4
carbachol,CHRM5
cariprazine,DRD2
cariprazine,DRD3
carvedilol,ADRB1
carvedilol,ADRB2
carvedilol,ADRB3
cetirizine,HRH1
cetrorelix,GNRH1
chenodeoxycholic acid,FPR1
chenodeoxycholic acid,GPBAR1
chloroquine,MRGPRX1
chlorpheniramine,HRH1
chlorpromazine,HTR1A
chlorpromazine,HTR2A
chlorpromazine,HTR2C
chlorpromazine,HTR6
chlorpromazine,HTR7
chlorpromazine,ADRA2A
chlorpromazine,ADRA2B
chlorpromazine,ADRA2C
chlorpromazine,DRD1
chlorpromazine,DRD2
chlorpromazine,DRD3
chlorpromazine,DRD4
chlorpromazine,DRD5
chlorpromazine,HRH1
cholic acid,GPBAR1
cimetidine,HRH2
cinacalcet,CASR
clemastine,HRH1
clidinium,CHRM3
clonidine,ADRA2A
clonidine,ADRA2B
clonidine,ADRA2C
clozapine,HTR1A
clozapine,HTR1B
clozapine,HTR1D
clozapine,HTR1E
clozapine,HTR1F
clozapine,HTR2A
clozapine,HTR2B
clozapine,HTR2C
clozapine,HTR5A
clozapine,HTR6
clozapine,HTR7
clozapine,ADRA1A
clozapine,ADRA1B
clozapine,ADRA1D
clozapine,DRD1
clozapine,DRD2
clozapine,DRD3
clozapine,DRD4
clozapine,DRD5
clozapine,HRH1
clozapine,HRH4
codeine,OPRM1
conivaptan,AVPR1A
conivaptan,AVPR2
corticotropin zinc hydroxide,MC2R
cosyntropin,MC2R
cyclizine,HRH1
cyclosporin A,FPR1
cyproheptadine,HTR6
cyproheptadine,HTR7
cyproheptadine,ADRA1A
cyproheptadine,ADRA1B
cyproheptadine,ADRA1D
cyproheptadine,HRH1
dapiprazole,ADRA1D
darifenacin,CHRM1
darifenacin,CHRM2
darifenacin,CHRM3
darifenacin,CHRM4
darifenacin,CHRM5
degarelix,GNRH1
deoxycholic acid,FPR1
deoxycholic acid,GPBAR1
desloratadine,HRH1
desmopressin,AVPR2
desmopressin,AVPR1A
dexamfetamine,TAAR1
dexetimide,CHRM2
dexmedetomidine,ADRA2A
dexmedetomidine,ADRA2B
dexmedetomidine,ADRA2C
diazepam,ADRA1A
dicyclomine,CHRM1
dicyclomine,CHRM2
dicyclomine,CHRM3
dihydroergotamine,HTR1B
dihydroergotamine,HTR1D
dihydroergotamine,HTR1E
dihydroergotamine,HTR1F
dihydroergotamine,HTR7
diphenhydramine,HRH1
dobutamine,ADRB1
dobutamine,ADRB2
domperidone,DRD2
domperidone,DRD3
dopamine,DRD1
dopamine,DRD2
dopamine,DRD3
dopamine,DRD4
dopamine,DRD5
dosulepin,HRH1
dosulepin,CHRM1
dosulepin,CHRM2
dosulepin,CHRM3
dosulepin,CHRM4
dosulepin,CHRM5
doxazosin,ADRA1A
doxazosin,ADRA1B
doxazosin,ADRA1D
doxepin,HRH1
duloxetine,HTR2A
duloxetine,HTR2C
duloxetine,HTR6
eletriptan,HTR1A
eletriptan,HTR1B
eletriptan,HTR1D
eletriptan,HTR1E
eletriptan,HTR1F
eluxadoline,OPRM1
ephedrine,ADRB2
epinastine,HRH1
eprosartan,AGTR1
ergometrine,HTR1E
ergotamine,HTR1D
ergotamine,HTR1E
ergotamine,HTR1F
ergotamine,HTR2A
ergotamine,HTR2B
ergotamine,HTR2C
ergotamine,HTR5A
ergotamine,HTR6
erythromycin-A,MLNR
esmolol,ADRB1
etelcalcetide,CASR
